species	group
nomascus_leucogenys	vertebrates
notamacropus_eugenii	vertebrates
notechis_scutatus	vertebrates
nothobranchius_furzeri	vertebrates
nothoprocta_perdicaria	vertebrates
numida_meleagris	vertebrates
ochotona_princeps	vertebrates
octodon_degus	vertebrates
oncorhynchus_kisutch	vertebrates
oncorhynchus_mykiss	vertebrates
oncorhynchus_tshawytscha	vertebrates
oreochromis_aureus	vertebrates
oreochromis_niloticus	vertebrates
ornithorhynchus_anatinus	vertebrates
oryctolagus_cuniculus	vertebrates
oryzias_javanicus	vertebrates
oryzias_latipes	vertebrates
oryzias_latipes_hni	vertebrates
oryzias_latipes_hsok	vertebrates
oryzias_melastigma	vertebrates
oryzias_sinensis	vertebrates
otolemur_garnettii	vertebrates
otus_sunia	vertebrates
ovis_aries	vertebrates
ovis_aries_rambouillet	vertebrates
pan_paniscus	vertebrates
pan_troglodytes	vertebrates
panthera_leo	vertebrates
panthera_pardus	vertebrates
panthera_tigris_altaica	vertebrates
papio_anubis	vertebrates
parambassis_ranga	vertebrates
paramormyrops_kingsleyae	vertebrates
parus_major	vertebrates
pavo_cristatus	vertebrates
pelodiscus_sinensis	vertebrates
pelusios_castaneus	vertebrates
periophthalmus_magnuspinnatus	vertebrates
peromyscus_maniculatus_bairdii	vertebrates
petromyzon_marinus	vertebrates
phascolarctos_cinereus	vertebrates
phasianus_colchicus	vertebrates
phocoena_sinus	vertebrates
physeter_catodon	vertebrates
piliocolobus_tephrosceles	vertebrates
podarcis_muralis	vertebrates
poecilia_formosa	vertebrates
poecilia_latipinna	vertebrates
poecilia_mexicana	vertebrates
poecilia_reticulata	vertebrates
pogona_vitticeps	vertebrates
pongo_abelii	vertebrates
procavia_capensis	vertebrates
prolemur_simus	vertebrates
propithecus_coquereli	vertebrates
pseudonaja_textilis	vertebrates
pteropus_vampyrus	vertebrates
pundamilia_nyererei	vertebrates
pygocentrus_nattereri	vertebrates
rattus_norvegicus	vertebrates
rattus_norvegicus_shrspbbbutx	vertebrates
rattus_norvegicus_shrutx	vertebrates
rattus_norvegicus_wkybbb	vertebrates
rhinolophus_ferrumequinum	vertebrates
rhinopithecus_bieti	vertebrates
rhinopithecus_roxellana	vertebrates
saccharomyces_cerevisiae	vertebrates
saimiri_boliviensis_boliviensis	vertebrates
salarias_fasciatus	vertebrates
salmo_salar	vertebrates
salmo_trutta	vertebrates
salvator_merianae	vertebrates
sander_lucioperca	vertebrates
sarcophilus_harrisii	vertebrates
sciurus_vulgaris	vertebrates
scleropages_formosus	vertebrates
scophthalmus_maximus	vertebrates
serinus_canaria	vertebrates
seriola_dumerili	vertebrates
seriola_lalandi_dorsalis	vertebrates
sinocyclocheilus_anshuiensis	vertebrates
sinocyclocheilus_grahami	vertebrates
sinocyclocheilus_rhinocerous	vertebrates
sorex_araneus	vertebrates
sparus_aurata	vertebrates
spermophilus_dauricus	vertebrates
sphaeramia_orbicularis	vertebrates
sphenodon_punctatus	vertebrates
stachyris_ruficeps	vertebrates
stegastes_partitus	vertebrates
strigops_habroptila	vertebrates
strix_occidentalis_caurina	vertebrates
struthio_camelus_australis	vertebrates
suricata_suricatta	vertebrates
sus_scrofa	vertebrates
sus_scrofa_bamei	vertebrates
sus_scrofa_berkshire	vertebrates
sus_scrofa_hampshire	vertebrates
sus_scrofa_jinhua	vertebrates
sus_scrofa_landrace	vertebrates
sus_scrofa_largewhite	vertebrates
sus_scrofa_meishan	vertebrates
sus_scrofa_pietrain	vertebrates
sus_scrofa_rongchang	vertebrates
sus_scrofa_tibetan	vertebrates
sus_scrofa_usmarc	vertebrates
sus_scrofa_wuzhishan	vertebrates
taeniopygia_guttata	vertebrates
takifugu_rubripes	vertebrates
terrapene_carolina_triunguis	vertebrates
tetraodon_nigroviridis	vertebrates
theropithecus_gelada	vertebrates
tupaia_belangeri	vertebrates
tursiops_truncatus	vertebrates
urocitellus_parryii	vertebrates
ursus_americanus	vertebrates
ursus_maritimus	vertebrates
ursus_thibetanus_thibetanus	vertebrates
varanus_komodoensis	vertebrates
vicugna_pacos	vertebrates
vombatus_ursinus	vertebrates
vulpes_vulpes	vertebrates
xenopus_tropicalis	vertebrates
xiphophorus_couchianus	vertebrates
xiphophorus_maculatus	vertebrates
zalophus_californianus	vertebrates
zonotrichia_albicollis	vertebrates
zosterops_lateralis_melanops	vertebrates
_actinobacillus_rossii_gca_900444965	nonvertebrates
_arcobacter_porcinus_gca_001695265	nonvertebrates
_bacillus_caldolyticus_gca_003595605	nonvertebrates
_bacillus_selenitireducens_mls10_gca_000093085	nonvertebrates
_bacillus_sp_kctc_13219_gca_001592865	nonvertebrates
_bacillus_thuringiensis_serovar_konkukian_gca_002148025	nonvertebrates
_bacillus_thuringiensis_serovar_konkukian_str_97_27_gca_000008505	nonvertebrates
_bacteroides_pectinophilus_atcc_43243_gca_000155855	nonvertebrates
_brevibacterium_flavum_gca_000987865	nonvertebrates
_butyribacterium_methylotrophicum_gca_001753695	nonvertebrates
_candidatus_kapabacteria_thiocyanatum_gca_001899175	nonvertebrates
_clostridium_aminophilum_gca_900101295	nonvertebrates
_clostridium_aminophilum_gca_900112885	nonvertebrates
_clostridium_asparagiforme_dsm_15981_gca_000158075	nonvertebrates
_clostridium_celerecrescens_18a_gca_002797975	nonvertebrates
_clostridium_cellulosi_gca_000953215	nonvertebrates
_clostridium_cf_saccharolyticum_k10_gca_000210535	nonvertebrates
_clostridium_citroniae_wal_17108_gca_000233455	nonvertebrates
_clostridium_citroniae_wal_19142_gca_001078435	nonvertebrates
_clostridium_clostridioforme_90a6_gca_000371545	nonvertebrates
_clostridium_clostridioforme_90a7_gca_000371525	nonvertebrates
_clostridium_clostridioforme_90a8_gca_000371505	nonvertebrates
_clostridium_cocleatum_gca_900102365	nonvertebrates
_clostridium_fimetarium_gca_900111235	nonvertebrates
_clostridium_hylemonae_dsm_15053_gca_000156515	nonvertebrates
_clostridium_innocuum_2959_gca_000371425	nonvertebrates
_clostridium_innocuum_gca_000763955	nonvertebrates
_clostridium_innocuum_gca_001406695	nonvertebrates
_clostridium_innocuum_gca_002221705	nonvertebrates
_clostridium_innocuum_gca_003433985	nonvertebrates
_clostridium_leptum_dsm_753_gca_000154345	nonvertebrates
_clostridium_leptum_gca_003459985	nonvertebrates
_clostridium_methylpentosum_dsm_5476_gca_000158655	nonvertebrates
_clostridium_paradoxum_jw_yl_7_dsm_7308_gca_001584565	nonvertebrates
_clostridium_polysaccharolyticum_gca_900111595	nonvertebrates
_clostridium_populeti_gca_900112775	nonvertebrates
_clostridium_saccharolyticum_wm1_gca_000144625	nonvertebrates
_clostridium_scindens_atcc_35704_gca_000154505	nonvertebrates
_clostridium_scindens_atcc_35704_gca_004295125	nonvertebrates
_clostridium_spiroforme_dsm_1552_gca_000154805	nonvertebrates
_clostridium_spiroforme_gca_002160695	nonvertebrates
_clostridium_spiroforme_gca_003439345	nonvertebrates
_clostridium_symbiosum_atcc_14940_gca_000466485	nonvertebrates
_clostridium_symbiosum_gca_001406475	nonvertebrates
_clostridium_symbiosum_gca_003463485	nonvertebrates
_clostridium_symbiosum_wal_14163_gca_000189595	nonvertebrates
_clostridium_thermoalcaliphilum_gca_002029295	nonvertebrates
_clostridium_ultunense_esp_gca_000344075	nonvertebrates
_clostridium_ultunense_esp_gca_900120235	nonvertebrates
_curtobacterium_plantarum_gca_003710245	nonvertebrates
_enterobacter_lignolyticus_scf1_gca_000164865	nonvertebrates
_eubacterium_cellulosolvens_6_gca_000183525	nonvertebrates
_eubacterium_eligens_atcc_27750_gca_000146185	nonvertebrates
